repo,issue_id,issue_total_tokens,issue_body_tokens,issue_comment_tokens,issue_num_sections,issue_num_comments,issue_has_satd,issue_satd_section_ratio,issue_satd_token_ratio,issue_satd_primary_type,issue_sentiment_score,issue_sentiment_variance,issue_priority_score
kokkos,Issue_7658,146,0,0,2,0,0,0.0,0.0,,1.0,0.0,0.14120058870804933
kokkos,Issue_7650,333,0,267,13,11,0,0.0,0.0,,-0.30930930930930933,1.1432582964114495,0.10360075083058941
kokkos,Issue_7649,124,0,0,2,0,1,0.5,0.9112903225806451,code/design_debt,1.0,0.0,0.08168100482386141
kokkos,Issue_7633,116,0,10,4,2,0,0.0,0.0,,-0.8793103448275862,0.8938763376932224,0.09202818296713666
kokkos,Issue_7621,23,0,3,3,1,0,0.0,0.0,,1.0,0.0,0.12230480258228264
kokkos,Issue_7618,280,0,0,2,0,0,0.0,0.0,,1.0,0.0,0.12383086598415594
kokkos,Issue_7610,232,0,138,6,4,1,0.16666666666666666,0.40086206896551724,test_debt,-0.11206896551724138,1.0125594530321047,0.05062620098928655
kokkos,Issue_7607,760,0,463,8,6,1,0.125,0.010526315789473684,documentation_debt,0.7657894736842106,0.8206440443213298,0.002513894999158513
kokkos,Issue_7604,95,0,44,6,4,1,0.16666666666666666,0.09473684210526316,code/design_debt,0.6,0.5600000000000002,0.1116234602938658
Trilinos,Issue_7603,426,0,261,17,13,1,0.058823529411764705,0.0539906103286385,requirement_debt,0.431924882629108,0.9324856438641053,0.07450315215034597
kokkos,Issue_7599,66,0,0,2,0,0,0.0,0.0,,1.0,0.0,0.07516779568821173
kokkos,Issue_7597,185,0,133,6,4,0,0.0,0.0,,1.0,0.0,0.019748413207096756
Trilinos,Issue_7595,630,0,553,22,18,1,0.045454545454545456,0.06349206349206349,test_debt,0.4222222222222222,0.7176655443322111,0.1267943758888521
kokkos,Issue_7594,44,0,0,2,0,0,0.0,0.0,,1.0,0.0,-0.00696888500665152
kokkos,Issue_7576,822,0,795,17,15,1,0.058823529411764705,0.10097323600973236,documentation_debt,0.3236009732360097,0.8382226707437553,0.06966258330044939
kokkos,Issue_7575,203,0,0,2,0,1,1.0,1.0,code/design_debt,-0.9605911330049262,1.9227353248076877,0.11954730317437172
kokkos,Issue_7562,747,0,546,12,10,1,0.25,0.4149933065595716,code/design_debt,0.46184738955823296,0.5975064918307768,0.06868774462256237
Trilinos,Issue_7561,398,0,241,8,4,0,0.0,0.0,,0.27638190954773867,0.938196005151385,0.1637502231347869
kokkos,Issue_7560,329,0,106,6,4,0,0.0,0.0,,-0.2765957446808511,1.4452995322166895,0.11703587478372605
kokkos,Issue_7555,295,0,180,14,12,1,0.07142857142857142,0.05423728813559322,test_debt,0.09830508474576272,0.8973152214060002,0.084035037675205
kokkos,Issue_7545,44,0,0,2,0,0,0.0,0.0,,-1.0,0.0,0.05265666748922935
Trilinos,Issue_7536,955,0,733,17,13,1,0.058823529411764705,0.0062827225130890054,code/design_debt,0.36544502617801045,0.7466082747344711,0.07406717991364267
Trilinos,Issue_7532,3754,0,2944,34,30,1,0.11764705882352941,0.2424080980287693,code/design_debt,0.40330314331379863,0.9728637109061788,0.11525809897344315
kokkos,Issue_7528,138,0,115,8,6,0,0.0,0.0,,0.855072463768116,0.4485402226423022,0.06005121582110858
kokkos,Issue_7526,1160,0,656,9,7,1,0.2222222222222222,0.2637931034482759,code/design_debt,0.8120689655172414,0.39623761395164486,0.01704468558177538
kokkos,Issue_7515,209,0,78,4,2,0,0.0,0.0,,0.7033492822966507,0.7913509306105629,0.040708054239649655
kokkos,Issue_7513,501,0,0,2,0,0,0.0,0.0,,1.0,0.0,0.08313715949106151
kokkos,Issue_7512,132,0,47,4,2,0,0.0,0.0,,0.803030303030303,0.8418273645546372,-0.03453386871444127
kokkos,Issue_7511,15,0,0,2,0,1,0.5,0.6666666666666666,test_debt,1.0,0.0,-0.010151636214159649
Trilinos,Issue_7497,706,0,355,11,7,1,0.2727272727272727,0.21671388101983002,code/design_debt,0.8101983002832861,0.6252598126941072,0.12516623179030728
kokkos,Issue_7496,235,0,86,3,1,1,0.6666666666666666,0.9872340425531915,code/design_debt,0.2680851063829787,0.8931462200090539,0.08192214875902142
kokkos,Issue_7495,377,0,0,2,0,0,0.0,0.0,,1.0,0.0,0.11341355728068754
kokkos,Issue_7494,572,0,467,10,8,0,0.0,0.0,,-0.07342657342657342,1.0053914616851678,0.0803206611464419
Trilinos,Issue_7483,791,0,524,25,21,0,0.0,0.0,,0.8002528445006322,0.6801012017305946,0.05600682771553579
kokkos,Issue_7482,39,0,18,4,2,0,0.0,0.0,,-0.07692307692307693,1.0059171597633136,0.11263351928674006
kokkos,Issue_7481,58,0,8,3,1,0,0.0,0.0,,-0.7241379310344828,1.041617122473246,0.1010437314736019
kokkos,Issue_7476,249,0,0,2,0,0,0.0,0.0,,1.0,0.0,0.12391901422598744
Trilinos,Issue_7466,546,0,350,12,8,0,0.0,0.0,,-0.4358974358974359,1.3353057199211047,0.13306272699445346
kokkos,Issue_7464,182,0,34,4,2,1,0.25,0.7802197802197802,code/design_debt,-0.5604395604395604,1.874532061345248,0.12840533742581664
kokkos,Issue_7459,329,0,251,10,8,0,0.0,0.0,,0.3738601823708207,0.6911392171173584,0.04410124984200354
kokkos,Issue_7452,159,0,28,3,1,0,0.0,0.0,,1.0,0.0,0.07807699192019245
kokkos,Issue_7449,274,0,94,7,5,1,0.14285714285714285,0.6459854014598541,code/design_debt,-0.6934306569343066,1.2827230311379707,0.14528078301515382
