repo,issue_id,issue_total_tokens,issue_body_tokens,issue_comment_tokens,issue_num_sections,issue_num_comments,issue_has_satd,issue_satd_section_ratio,issue_satd_token_ratio,issue_satd_primary_type,issue_sentiment_score,issue_sentiment_variance,issue_priority_score
ADIOS2,Issue_4753,38,0,0,2,0,0,0.0,0.0,,1.0,0.0,0.0850093842795741
visit,Issue_4745,400,0,274,11,7,1,0.2727272727272727,0.1525,documentation_debt,0.27,0.8274454545454545,0.046415204219021705
visit,Issue_4738,219,0,140,8,4,1,0.125,0.1324200913242009,code/design_debt,-0.1050228310502283,1.0110297950418048,0.11127403069101403
visit,Issue_4736,262,0,193,11,7,1,0.2727272727272727,0.6641221374045801,documentation_debt,0.10687022900763359,0.8754045907475195,0.05440823719164704
visit,Issue_4735,188,0,0,4,0,1,0.25,0.39893617021276595,documentation_debt,0.20212765957446807,0.838727931190584,0.03274426323738885
kokkos,Issue_4723,360,0,213,9,5,0,0.0,0.0,,0.12777777777777777,0.9311419753086422,0.04914540607391598
ADIOS2,Issue_4721,231,0,0,2,0,0,0.0,0.0,,1.0,0.0,0.07894122576750949
kokkos,Issue_4716,722,0,403,16,12,0,0.0,0.0,,-0.26869806094182824,1.3408967088957262,0.10164363015950224
visit,Issue_4711,423,0,74,13,7,1,0.07692307692307693,0.0591016548463357,code/design_debt,1.0,0.0,0.0821667354633018
kokkos,Issue_4700,135,0,59,9,5,0,0.0,0.0,,0.18518518518518517,0.7462277091906724,0.04060459948091456
kokkos,Issue_4696,277,0,161,10,6,1,0.1,0.18050541516245489,test_debt,0.6823104693140795,0.37385082563307226,0.05140560477726468
visit,Issue_4682,707,0,459,8,4,1,0.25,0.2984441301272984,code/design_debt,1.0,0.0,0.07703777354835573
visit,Issue_4677,546,0,297,15,9,1,0.13333333333333333,0.38278388278388276,test_debt,0.7289377289377289,0.6566249379436191,0.06398889792580219
ADIOS2,Issue_4676,3,0,0,1,0,0,0.0,0.0,,-1.0,0.0,0.17107536273866206
ADIOS2,Issue_4675,118,0,12,3,1,0,0.0,0.0,,-0.6949152542372882,1.9461840467298668,0.16593603487484185
visit,Issue_4674,647,0,509,9,5,1,0.1111111111111111,0.030911901081916538,test_debt,-0.3941267387944359,1.768421924357415,0.12606037580659926
visit,Issue_4673,119,0,35,5,1,1,0.4,0.6638655462184874,code/design_debt,0.2605042016806723,0.7552573970764777,0.04466745110573126
visit,Issue_4672,139,0,27,6,2,1,0.3333333333333333,0.3237410071942446,documentation_debt,-0.1223021582733813,1.1780273622828354,0.12901147326206489
visit,Issue_4671,245,0,142,8,4,1,0.5,0.46938775510204084,documentation_debt,-0.06938775510204082,1.0395085381091214,0.046086425315734425
ADIOS2,Issue_4670,64,0,26,3,1,1,0.3333333333333333,0.40625,test_debt,1.0,0.0,0.14954491412819293
kokkos,Issue_4669,269,0,117,10,6,1,0.1,0.12639405204460966,documentation_debt,0.8438661710037175,0.36192424095852743,0.07922499003275
kokkos,Issue_4668,195,0,125,6,2,1,0.3333333333333333,0.7128205128205128,requirement_debt,-0.06666666666666667,1.0933333333333335,0.1395714095205395
ADIOS2,Issue_4661,177,0,0,2,0,1,0.5,0.9491525423728814,documentation_debt,1.0,0.0,0.018420430289605955
ADIOS2,Issue_4659,765,0,585,10,8,0,0.0,0.0,,-0.3542483660130719,0.8420932120124738,0.08385757964179755
visit,Issue_4657,385,0,279,11,7,1,0.18181818181818182,0.3038961038961039,test_debt,-0.5532467532467532,1.4066722887502108,0.09788469251502029
visit,Issue_4652,396,0,158,7,3,0,0.0,0.0,,-0.015151515151515152,1.0218745900564081,0.07306280706178658
ADIOS2,Issue_4645,96,0,0,2,0,1,1.0,1.0,code/design_debt,-1.0,0.0,0.1176574221428101
visit,Issue_4630,1991,0,1704,29,25,1,0.06896551724137931,0.06328478151682572,documentation_debt,0.5107985936715218,0.6620478865784682,0.094622911330043
ADIOS2,Issue_4622,455,0,364,16,14,1,0.125,0.2,code/design_debt,-0.08571428571428572,1.0287755102040816,0.09159061036984854
kokkos,Issue_4621,1267,0,972,20,16,1,0.1,0.18705603788476716,code/design_debt,0.6637726913970008,0.5113124178886169,0.058490394904368026
visit,Issue_4620,841,0,460,13,9,1,0.23076923076923078,0.44351961950059454,code/design_debt,-0.7835909631391201,1.4934623416457373,0.07966392183929462
ADIOS2,Issue_4617,63,0,59,7,6,0,0.0,0.0,,0.873015873015873,0.5149911816578483,0.087253874292332
visit,Issue_4612,624,0,177,20,14,0,0.0,0.0,,-0.5961538461538461,1.474630177514793,0.0840406288506039
kokkos,Issue_4597,1152,0,918,24,20,1,0.08333333333333333,0.0998263888888889,test_debt,-0.24305555555555555,1.05907600308642,0.07033805715297398
ADIOS2,Issue_4588,238,0,205,9,7,1,0.2222222222222222,0.2184873949579832,documentation_debt,0.03361344537815126,0.9787209001247559,0.033218480599113656
ADIOS2,Issue_4586,285,0,134,3,1,1,0.3333333333333333,0.47017543859649125,code/design_debt,0.05964912280701754,0.9637919359803017,0.12531205569242823
visit,Issue_4585,204,0,114,11,7,1,0.09090909090909091,0.36764705882352944,documentation_debt,0.47058823529411764,0.45139981126140294,0.049396788825459025
ADIOS2,Issue_4580,160,0,0,2,0,0,0.0,0.0,,-1.0,0.0,0.13863539865445024
ADIOS2,Issue_4579,109,0,0,2,0,1,0.5,0.8990825688073395,test_debt,-0.7981651376146789,1.6370675869034592,0.12552243934839033
ADIOS2,Issue_4577,52,0,1,3,1,0,0.0,0.0,,0.6153846153846154,0.9684418145956609,0.09831561058295876
visit,Issue_4573,907,0,733,22,16,1,0.09090909090909091,0.18081587651598677,code/design_debt,-0.15766262403528114,1.1108552979460258,0.05955573473048259
visit,Issue_4572,303,0,34,6,2,1,0.3333333333333333,0.36633663366336633,documentation_debt,0.40594059405940597,0.8941607031990326,0.07227183890438466
visit,Issue_4565,313,0,167,7,3,1,0.7142857142857143,0.8913738019169329,documentation_debt,1.0,0.0,0.040722960432806536
visit,Issue_4563,264,0,0,4,0,1,0.25,0.5265151515151515,documentation_debt,0.1590909090909091,0.866219008264463,0.08810177322788997
kokkos,Issue_4562,631,0,451,14,10,1,0.07142857142857142,0.058637083993660855,test_debt,-0.001584786053882726,1.0000025115468367,0.09579931069546235
visit,Issue_4561,307,0,53,11,5,1,0.09090909090909091,0.41042345276872966,test_debt,0.09446254071661238,0.9230481345835355,0.09513677915888748
visit,Issue_4560,383,0,220,6,2,1,0.16666666666666666,0.22193211488250653,code/design_debt,-0.5143603133159269,0.9216596563705073,0.06903653696241398
visit,Issue_4559,249,0,84,6,2,1,0.5,0.8514056224899599,code/design_debt,-0.3333333333333333,1.1111111111111112,0.09092301610700326
visit,Issue_4558,285,0,73,10,4,0,0.0,0.0,,-0.03859649122807018,1.0323668821175747,0.10563827418031638
ADIOS2,Issue_4556,52,0,36,5,3,0,0.0,0.0,,1.0,0.0,0.15203162263637962
kokkos,Issue_4534,341,0,287,12,8,0,0.0,0.0,,0.8768328445747801,0.3074477630338002,0.048337657674596655
ADIOS2,Issue_4522,1267,0,957,12,10,1,0.16666666666666666,0.2154696132596685,code/design_debt,0.10181531176006314,0.94248948320209,0.019202879836606068
visit,Issue_4505,56,0,20,5,1,0,0.0,0.0,,1.0,0.0,0.027645340244108
ADIOS2,Issue_4502,274,0,0,2,0,0,0.0,0.0,,-0.948905109489051,1.900420906814428,0.017806984159340414
ADIOS2,Issue_4496,210,0,103,3,1,1,0.6666666666666666,0.9857142857142858,code/design_debt,-0.9714285714285714,1.2960544217687076,-0.01720888242334015
ADIOS2,Issue_4493,690,0,611,12,10,1,0.25,0.6072463768115942,code/design_debt,-0.6057971014492753,1.1650577609745851,0.14713891254407008
visit,Issue_4489,694,0,379,10,6,1,0.2,0.41786743515850144,documentation_debt,-0.1786743515850144,1.0319245239143253,0.06272406041424945
kokkos,Issue_4485,334,0,195,11,7,0,0.0,0.0,,-0.41317365269461076,1.0955899849728958,0.08498976163498219
ADIOS2,Issue_4483,187,0,134,7,5,1,0.14285714285714285,0.2620320855614973,code/design_debt,0.6256684491978609,0.49764893803899773,0.07023499293366153
kokkos,Issue_4482,470,0,353,13,9,1,0.07692307692307693,0.10638297872340426,code/design_debt,-0.30638297872340425,1.1410063725319501,0.10662381465021549
ADIOS2,Issue_4478,403,0,310,7,5,1,0.14285714285714285,0.21588089330024815,code/design_debt,0.4044665012406948,0.8169075781338648,0.09669965618853996
visit,Issue_4474,1738,0,1289,13,7,1,0.15384615384615385,0.213463751438435,test_debt,-0.5960874568469505,1.9972605943531352,0.08900017482284314
kokkos,Issue_4471,1339,0,1169,31,27,1,0.12903225806451613,0.2949962658700523,code/design_debt,0.3427931292008962,0.8742345861234805,0.09446631484688663
ADIOS2,Issue_4466,570,0,455,8,6,1,0.125,0.16140350877192983,code/design_debt,1.0,0.0,0.0323757565174469
ADIOS2,Issue_4460,302,0,0,2,0,1,0.5,0.9602649006622517,documentation_debt,1.0,0.0,-0.00010795332052080815
visit,Issue_4458,733,0,77,5,1,0,0.0,0.0,,-0.6398362892223738,1.6653249926948068,0.15203289375978665
visit,Issue_4457,950,0,698,23,17,1,0.13043478260869565,0.18947368421052632,scientific_debt,-0.26105263157894737,1.1362491629531495,0.05899770879804864
visit,Issue_4453,845,0,463,18,12,0,0.0,0.0,,0.15976331360946747,0.8480095234760684,0.03582241573549157
ADIOS2,Issue_4452,40,0,1,3,1,0,0.0,0.0,,1.0,0.0,0.08684426714202265
visit,Issue_4446,374,0,83,6,2,0,0.0,0.0,,0.36363636363636365,0.8898071625344354,0.10381063999957169
ADIOS2,Issue_4440,40,0,0,2,0,1,0.5,0.1,test_debt,0.8,1.6400000000000001,0.07387001848357634
ADIOS2,Issue_4427,59,0,11,5,3,1,0.2,0.05084745762711865,code/design_debt,-0.5254237288135594,1.906578569376616,0.05702193381340035
ADIOS2,Issue_4426,108,0,3,3,1,0,0.0,0.0,,-0.8703703703703703,2.337791495198902,0.11097990960531645
ADIOS2,Issue_4419,6,0,0,2,0,0,0.0,0.0,,1.0,0.0,0.14044286017219101
visit,Issue_4418,259,0,133,9,5,0,0.0,0.0,,0.16602316602316602,0.8430935071861714,0.028294858252737018
visit,Issue_4414,268,0,102,9,5,1,0.2222222222222222,0.2835820895522388,code/design_debt,-0.43283582089552236,1.091161109873518,0.09962709677082152
visit,Issue_4390,1458,0,904,19,13,1,0.15789473684210525,0.1700960219478738,code/design_debt,0.5761316872427984,1.1499913987580344,0.11598498225710283
ADIOS2,Issue_4388,243,0,61,5,3,0,0.0,0.0,,-0.7119341563786008,1.22207658046707,0.09892694215273683
kokkos,Issue_4384,515,0,368,15,11,0,0.0,0.0,,0.8019417475728156,0.6807804694127626,0.13719457306033023
ADIOS2,Issue_4382,233,0,3,5,3,0,0.0,0.0,,1.0,0.0,0.08205721862479742
visit,Issue_4375,875,0,615,25,19,0,0.0,0.0,,-0.31657142857142856,0.8722860408163261,0.12593998068590678
visit,Issue_4371,458,0,77,8,4,1,0.125,0.7008733624454149,code/design_debt,-0.48034934497816595,1.711084838199119,0.09458629195560046
ADIOS2,Issue_4370,224,0,170,6,4,0,0.0,0.0,,0.7946428571428571,1.1016953656462587,0.033306554437601776
kokkos,Issue_4363,453,0,296,13,9,1,0.3076923076923077,0.49448123620309054,documentation_debt,-0.09050772626931568,1.022115914094336,0.10238582855092826
kokkos,Issue_4360,274,0,211,13,9,0,0.0,0.0,,-0.029197080291970802,1.0053443280040328,0.10674281825722497
ADIOS2,Issue_4353,204,0,27,4,2,0,0.0,0.0,,-0.9411764705882353,0.944636678200692,0.09952482515309088
ADIOS2,Issue_4351,126,0,96,7,5,1,0.2857142857142857,0.3412698412698413,test_debt,0.8412698412698413,0.505920886873268,0.10764961916339354
kokkos,Issue_4350,405,0,148,8,4,0,0.0,0.0,,-0.11604938271604938,1.013467459228776,0.08905869405156842
ADIOS2,Issue_4347,65,0,24,4,2,0,0.0,0.0,,-0.7230769230769231,0.7997633136094675,0.02935909390738287
kokkos,Issue_4334,928,0,731,28,24,1,0.03571428571428571,0.16918103448275862,code/design_debt,0.06896551724137931,0.9751995923220657,0.06817184663517326
ADIOS2,Issue_4333,107,0,33,4,2,0,0.0,0.0,,-0.8130841121495327,0.8480216612804612,0.10375703073789912
visit,Issue_4329,795,0,414,15,9,1,0.06666666666666667,0.1069182389937107,code/design_debt,0.09433962264150944,0.9711641153435386,0.07005965831549463
kokkos,Issue_4327,579,0,475,15,11,1,0.06666666666666667,0.2659758203799655,requirement_debt,0.31951640759930916,0.6334666702461813,0.06886147176239729
kokkos,Issue_4326,191,0,41,7,3,0,0.0,0.0,,1.0,0.0,0.04589631954338076
ADIOS2,Issue_4321,277,0,247,10,8,1,0.1,0.21660649819494585,code/design_debt,0.3212996389891697,0.8461937468232351,0.0903527160868594
ADIOS2,Issue_4320,79,0,59,5,3,0,0.0,0.0,,0.6962025316455697,0.649254927095017,0.034561738121487266
visit,Issue_4318,267,0,155,11,5,1,0.09090909090909091,0.10112359550561797,documentation_debt,0.18352059925093633,0.8668429019394807,0.09105015376953339
ADIOS2,Issue_4311,49,0,29,4,2,0,0.0,0.0,,-0.061224489795918366,1.0649729279466889,0.1586795188225549
kokkos,Issue_4297,720,0,421,13,9,1,0.15384615384615385,0.21388888888888888,documentation_debt,-0.2222222222222222,1.0151946818613486,0.04831420629236165
visit,Issue_4287,603,0,242,15,9,0,0.0,0.0,,0.06467661691542288,0.9438182223212296,0.0864505932287431
ADIOS2,Issue_4284,70,0,57,6,4,0,0.0,0.0,,0.08571428571428572,1.00734693877551,0.08132286133427787
kokkos,Issue_4283,226,0,80,8,4,1,0.125,0.5176991150442478,code/design_debt,0.39823008849557523,0.9594721591354061,0.10719389177787586
kokkos,Issue_4279,334,0,249,11,7,1,0.09090909090909091,0.017964071856287425,test_debt,0.7544910179640718,1.157716140935331,0.05166530922195026
ADIOS2,Issue_4278,36,0,29,3,2,0,0.0,0.0,,-1.0,0.0,0.1833244145654947
ADIOS2,Issue_4276,38,0,31,3,2,0,0.0,0.0,,-0.7368421052631579,1.0517082179132042,0.1933931338535164
visit,Issue_4273,287,0,111,10,6,0,0.0,0.0,,-0.36585365853658536,1.2801903628792382,0.14044960449331362
kokkos,Issue_4272,193,0,137,10,6,0,0.0,0.0,,-0.8963730569948186,0.3692877661145266,0.1786488756200062
ADIOS2,Issue_4270,51,0,10,3,1,0,0.0,0.0,,-0.6078431372549019,0.9642445213379469,0.10047071074693102
ADIOS2,Issue_4264,80,0,2,3,1,0,0.0,0.0,,1.0,0.0,-0.0009066437216061956
ADIOS2,Issue_4261,22,0,8,3,1,0,0.0,0.0,,1.0,0.0,0.07508123421691114
ADIOS2,Issue_4257,137,0,102,7,5,1,0.14285714285714285,0.043795620437956206,test_debt,0.10948905109489052,0.9807052662825481,0.1448410152959548
ADIOS2,Issue_4254,1381,0,929,5,3,1,0.2,0.27371469949312094,code/design_debt,0.41491672700941346,1.0061891995484387,0.09671213087309549
ADIOS2,Issue_4241,289,0,227,9,7,0,0.0,0.0,,-0.49480968858131485,1.1348789193403124,0.12058815186380002
kokkos,Issue_4237,389,0,171,7,3,1,0.2857142857142857,0.6066838046272494,code/design_debt,-0.5938303341902313,1.1829686560358443,0.04494091790238374
ADIOS2,Issue_4232,373,0,249,8,6,1,0.25,0.4584450402144772,documentation_debt,-0.6890080428954424,1.4747320831746076,0.09042032749148994
ADIOS2,Issue_4230,132,0,51,5,3,0,0.0,0.0,,-0.6212121212121212,1.1374196510560144,0.11673477484747627
ADIOS2,Issue_4225,274,0,89,5,3,0,0.0,0.0,,-0.8905109489051095,0.7243966114337471,0.09029677153145955
ADIOS2,Issue_4218,816,0,600,6,4,1,0.16666666666666666,0.25612745098039214,test_debt,0.4877450980392157,0.5875684832756632,0.09566576710147298
visit,Issue_4216,156,0,14,5,1,1,0.4,0.1346153846153846,test_debt,0.8205128205128205,0.6886259040105195,0.023411145010718077
visit,Issue_4212,1024,0,323,11,7,1,0.09090909090909091,0.009765625,code/design_debt,0.486328125,0.9712451588023793,0.08939841789837787
visit,Issue_4202,1180,0,693,16,10,1,0.0625,0.12372881355932204,code/design_debt,0.7559322033898305,0.4375351910370584,0.06585799179976647
visit,Issue_4195,1164,0,813,16,10,1,0.1875,0.3479381443298969,code/design_debt,-0.03608247422680412,1.0193431820597303,0.03466317226441605
visit,Issue_4192,1036,0,855,26,20,1,0.07692307692307693,0.20656370656370657,code/design_debt,0.4980694980694981,0.7883167651507423,0.07539508090178984
kokkos,Issue_4188,306,0,210,11,7,1,0.09090909090909091,0.11437908496732026,test_debt,0.3790849673202614,0.6612336358587799,0.11847690600272308
ADIOS2,Issue_4186,233,0,3,5,3,0,0.0,0.0,,1.0,0.0,0.08201991150862796
visit,Issue_4179,922,0,768,15,11,1,0.13333333333333333,0.2158351409978308,test_debt,-0.08676789587852494,1.065373931674203,0.05204579699734566
ADIOS2,Issue_4172,232,0,170,6,4,0,0.0,0.0,,-0.1896551724137931,1.0359690844233056,0.04698886175438835
ADIOS2,Issue_4159,164,0,35,4,2,0,0.0,0.0,,0.573170731707317,1.3285246876859014,0.034475711810529025
visit,Issue_4156,3021,0,2883,42,38,1,0.07142857142857142,0.11089043363124793,code/design_debt,0.21085733200926846,0.9641342117918695,0.07564783385072966
ADIOS2,Issue_4151,80,0,47,3,1,1,0.3333333333333333,0.5875,requirement_debt,-0.175,1.1472916666666668,0.05026450051323174
ADIOS2,Issue_4148,395,0,310,8,6,0,0.0,0.0,,1.0,0.0,0.025302756447249834
ADIOS2,Issue_4141,136,0,41,4,2,0,0.0,0.0,,0.6176470588235294,0.7638408304498271,0.047088879625929225
ADIOS2,Issue_4140,113,0,92,6,4,0,0.0,0.0,,0.168141592920354,1.0282715952697943,0.1533707341205044
ADIOS2,Issue_4133,152,0,74,6,4,0,0.0,0.0,,-0.23684210526315788,1.2139889196675904,0.10063777557289523
visit,Issue_4131,125,0,57,7,3,0,0.0,0.0,,0.488,0.8198582857142859,0.10742995358100653
ADIOS2,Issue_4129,376,0,146,9,7,1,0.2222222222222222,0.35106382978723405,documentation_debt,1.0,0.0,0.0901574612838005
kokkos,Issue_4112,1188,0,1092,19,16,1,0.3157894736842105,0.4444444444444444,code/design_debt,0.013468013468013467,0.9959283305021385,0.05924069382361086
ADIOS2,Issue_4110,88,0,54,5,3,0,0.0,0.0,,0.8181818181818182,0.687603305785124,0.07099534597406545
visit,Issue_4107,173,0,129,10,6,1,0.1,0.05202312138728324,code/design_debt,0.6994219653179191,0.37011594106050977,0.11968823415919323
visit,Issue_4106,557,0,317,13,9,0,0.0,0.0,,0.1490125673249551,0.8617296727169766,0.05691453145547849
visit,Issue_4105,1702,0,1363,18,14,1,0.3333333333333333,0.7585193889541716,code/design_debt,0.07755581668625147,1.0232495306321494,0.05822625238527877
ADIOS2,Issue_4103,391,0,317,8,6,1,0.125,0.11253196930946291,requirement_debt,-0.23273657289002558,0.9377980259155816,0.0812558834464673
kokkos,Issue_4100,2189,0,2015,20,16,0,0.0,0.0,,-0.2316126084970306,1.0536444004147991,0.0633335322795608
kokkos,Issue_4095,236,0,43,6,2,1,0.16666666666666666,0.6610169491525424,code/design_debt,0.8305084745762712,0.5823996935746432,0.06834541659313
ADIOS2,Issue_4094,190,0,163,9,7,0,0.0,0.0,,-0.35789473684210527,1.3666851338873498,0.04945465321453374
kokkos,Issue_4090,291,0,159,10,6,0,0.0,0.0,,1.0,0.0,0.10562649345976705
visit,Issue_4082,852,0,221,11,5,1,0.18181818181818182,0.4225352112676056,code/design_debt,0.8356807511737089,0.6347686345702611,0.06170287290127122
visit,Issue_4081,678,0,490,23,17,1,0.08695652173913043,0.1887905604719764,documentation_debt,0.5663716814159292,0.5820312100978257,0.0579624045002647
ADIOS2,Issue_4079,730,0,723,11,10,0,0.0,0.0,,-0.019178082191780823,0.989907026731947,0.09466728748645623
kokkos,Issue_4073,1087,0,1010,20,17,1,0.1,0.26954921803127874,code/design_debt,0.13339466421343146,0.9377573379125552,0.038544549744280614
ADIOS2,Issue_4061,344,0,276,8,6,1,0.25,0.5087209302325582,code/design_debt,-0.4186046511627907,0.9659275283937263,0.09707794486720396
visit,Issue_4057,632,0,359,19,13,1,0.2631578947368421,0.47943037974683544,requirement_debt,0.4525316455696203,0.8713405198222283,0.1123477048027742
visit,Issue_4056,1804,0,1502,19,13,1,0.15789473684210525,0.37527716186252774,test_debt,0.9035476718403548,0.19952361410012212,0.07527651198785955
kokkos,Issue_4054,35,0,5,6,2,1,0.16666666666666666,0.2,code/design_debt,1.0,0.0,0.079649657952034
ADIOS2,Issue_4053,7,0,4,2,1,0,0.0,0.0,,1.0,0.0,0.08194923094669673
kokkos,Issue_4052,123,0,55,6,3,1,0.16666666666666666,0.032520325203252036,code/design_debt,-0.04065040650406504,1.0287527265516554,0.0236662120265171
ADIOS2,Issue_4051,59,0,48,3,1,0,0.0,0.0,,1.0,0.0,0.09790569915577546
ADIOS2,Issue_4032,77,0,50,5,3,0,0.0,0.0,,1.0,0.0,0.06039563017938154
visit,Issue_4028,1160,0,912,22,16,1,0.045454545454545456,0.1206896551724138,test_debt,0.6275862068965518,0.8233315317262996,0.045517911497643185
ADIOS2,Issue_4025,140,0,26,4,2,0,0.0,0.0,,1.0,0.0,0.07687714617803683
ADIOS2,Issue_4022,425,0,325,9,7,1,0.1111111111111111,0.11529411764705882,code/design_debt,0.32235294117647056,0.7457414840445984,0.07535539126625602
kokkos,Issue_4019,733,0,611,22,18,0,0.0,0.0,,-0.3096862210095498,1.1522121411212758,0.06724369424931174
ADIOS2,Issue_4015,13,0,1,3,1,0,0.0,0.0,,1.0,0.0,0.16296806556005836
ADIOS2,Issue_4008,332,0,284,8,6,1,0.125,0.09036144578313253,code/design_debt,-0.08433734939759036,1.0492814632022065,0.11183300506771979
ADIOS2,Issue_4007,526,0,291,10,8,1,0.6,0.6653992395437263,documentation_debt,0.10646387832699619,0.8835779033960302,0.06723076826154334
visit,Issue_4004,494,0,122,9,5,1,0.1111111111111111,0.08299595141700405,requirement_debt,0.854251012145749,0.7805770004789822,0.0766099476945174
visit,Issue_3998,508,0,369,9,5,1,0.1111111111111111,0.16535433070866143,requirement_debt,0.4566929133858268,0.9041064748796165,0.08050807212581498
visit,Issue_3987,145,0,78,8,4,1,0.25,0.32413793103448274,test_debt,-0.3793103448275862,1.1438763376932224,0.06145747842526172
visit,Issue_3974,636,0,167,12,6,0,0.0,0.0,,-0.12264150943396226,1.015040939836241,0.09635995599551568
ADIOS2,Issue_3973,150,0,26,3,1,0,0.0,0.0,,0.6533333333333333,0.9912888888888888,0.05197817440300351
visit,Issue_3966,297,0,22,5,1,1,0.4,0.1111111111111111,documentation_debt,-0.1717171717171717,1.2355473931231507,0.09445291706885976
visit,Issue_3958,1174,0,945,12,8,1,0.4166666666666667,0.7606473594548552,documentation_debt,0.48211243611584326,0.589615819569762,0.09097457669618898
visit,Issue_3948,352,0,161,9,5,1,0.3333333333333333,0.5767045454545454,documentation_debt,0.8238636363636364,0.7633472509182737,0.07027062818291166
ADIOS2,Issue_3947,324,0,83,5,3,1,0.2,0.7129629629629629,documentation_debt,-0.8518518518518519,1.3849108367626886,0.0981655263188196
visit,Issue_3942,742,0,551,10,6,1,0.4,0.5417789757412399,documentation_debt,0.08355795148247978,0.9735587506629564,0.05798432394352839
visit,Issue_3941,437,0,6,5,1,0,0.0,0.0,,-0.02517162471395881,1.0107022605763238,0.11039934677456364
ADIOS2,Issue_3937,55,0,0,2,0,0,0.0,0.0,,1.0,0.0,-0.014938048740198832
kokkos,Issue_3936,468,0,311,15,11,1,0.06666666666666667,0.07264957264957266,test_debt,-0.5598290598290598,1.2387647015852146,0.10815944973782504
kokkos,Issue_3930,434,0,218,8,4,0,0.0,0.0,,-0.08294930875576037,1.0068805878230587,0.04649502955288379
ADIOS2,Issue_3929,482,0,298,7,5,1,0.14285714285714285,0.26556016597510373,test_debt,0.2946058091286307,1.0026194944498692,0.08612168956592274
ADIOS2,Issue_3927,152,0,59,4,2,0,0.0,0.0,,-0.5657894736842105,0.7543282548476455,0.08534486984919921
ADIOS2,Issue_3926,287,0,263,11,9,0,0.0,0.0,,0.03832752613240418,0.9945003581444474,0.1185279947474632
kokkos,Issue_3925,148,0,56,8,4,0,0.0,0.0,,-0.5540540540540541,1.3069758948137327,0.13538446245820246
ADIOS2,Issue_3924,104,0,41,4,2,0,0.0,0.0,,0.38461538461538464,1.14792899408284,0.11423811808285445
ADIOS2,Issue_3923,185,0,128,6,4,1,0.16666666666666666,0.34054054054054056,code/design_debt,0.3837837837837838,0.8914341368395425,0.07222470173219338
ADIOS2,Issue_3919,91,0,43,5,3,0,0.0,0.0,,0.42857142857142855,0.6693877551020407,0.11876040641858901
ADIOS2,Issue_3912,56,0,29,4,2,0,0.0,0.0,,0.07142857142857142,0.9336734693877551,0.11256891870675916
visit,Issue_3909,435,0,298,8,4,1,0.25,0.6505747126436782,code/design_debt,-0.7471264367816092,1.1846346941471795,0.07535192602544036
visit,Issue_3907,645,0,340,21,15,1,0.09523809523809523,0.06511627906976744,documentation_debt,0.08527131782945736,0.9179393408706548,0.09012343255649746
ADIOS2,Issue_3903,292,0,217,10,8,1,0.1,0.04794520547945205,requirement_debt,-0.410958904109589,1.33327078251079,0.07289875294803327
ADIOS2,Issue_3898,244,0,154,8,6,0,0.0,0.0,,0.09016393442622951,0.9179656006449879,0.08898225178286284
kokkos,Issue_3897,685,0,597,17,13,1,0.29411764705882354,0.4364963503649635,code/design_debt,-0.20875912408759123,1.0681402688412993,0.09394078139256762
kokkos,Issue_3895,325,0,198,9,5,1,0.2222222222222222,0.3569230769230769,code/design_debt,0.9076923076923077,0.41193951347797503,0.004051030557974704
kokkos,Issue_3894,116,0,65,7,3,1,0.42857142857142855,0.4827586206896552,documentation_debt,0.8620689655172413,0.5116358077119076,0.09264583349947728
ADIOS2,Issue_3887,235,0,5,6,4,0,0.0,0.0,,1.0,0.0,0.0912013705216705
kokkos,Issue_3879,182,0,63,5,1,1,0.2,0.34615384615384615,documentation_debt,-0.7142857142857143,1.795918367346939,0.07099633079900679
visit,Issue_3874,212,0,31,6,2,1,0.3333333333333333,0.7783018867924528,documentation_debt,-0.6415094339622641,1.4115343538625842,0.10021699689901513
kokkos,Issue_3867,333,0,155,7,3,0,0.0,0.0,,0.8438438438438438,0.506581227301948,0.0680383449971843
visit,Issue_3863,259,0,135,13,9,0,0.0,0.0,,-0.4362934362934363,1.1232298954306676,0.11381443878221874
visit,Issue_3855,317,0,105,8,4,0,0.0,0.0,,-0.8675078864353313,0.8850620465921643,0.11524604363821957
visit,Issue_3854,141,0,49,10,6,0,0.0,0.0,,0.2624113475177305,0.9638951762989789,0.048611231570686766
ADIOS2,Issue_3852,380,0,31,4,2,0,0.0,0.0,,0.8368421052631579,1.7003047091412746,0.07067178071117872
ADIOS2,Issue_3851,187,0,77,5,3,0,0.0,0.0,,-0.8502673796791443,1.3828476650747803,0.09424828751345529
ADIOS2,Issue_3846,1092,0,982,17,15,0,0.0,0.0,,0.5384615384615384,0.5931082492168465,0.08128545141467611
ADIOS2,Issue_3844,224,0,67,4,2,0,0.0,0.0,,-0.35714285714285715,1.4846938775510206,0.11361322157052613
ADIOS2,Issue_3843,705,0,571,7,5,0,0.0,0.0,,-0.46382978723404256,1.0826152751729936,0.047078209902851095
ADIOS2,Issue_3842,91,0,77,6,4,0,0.0,0.0,,0.42857142857142855,0.6122448979591836,0.14513243585429472
kokkos,Issue_3841,280,0,116,8,4,1,0.25,0.7464285714285714,code/design_debt,0.7714285714285715,0.8236734693877551,0.11173912279505435
visit,Issue_3840,127,0,15,5,1,0,0.0,0.0,,-0.41732283464566927,1.341087482174964,0.08344945487646126
